Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image1,0,0.19470518943890763,0.2120226081725401,0.443074087956298,0.2748012203187199,0.06821068715913459,0.010936753906234227,0.028235727708164477,0.4754102711663437,0.246092103072478,0.6031083236853059,0.13969412907476675,0.9817643279761663,0.0
Image2,0,0.2614887312148574,0.2761236832502191,0.5101136633114297,0.6748431067473261,0.05227811631817129,0.007693378277867002,0.017951249318457988,0.797096439819062,0.6483828500885807,0.7737995555136505,0.09352729376344446,0.9974169434415274,0.0
Image3,1,0.21900324857587258,0.3923259164213085,0.6142001835912042,0.0014866531359510257,0.09061808106913169,0.016478174795721053,0.023280153761597866,0.012718883780531903,0.0011726605544576162,0.23075975674809124,0.19526103299324285,0.9728549220089544,0.0
Image4,1,0.177299540782051,0.3290068207051017,0.5597497955010983,0.0015128520891887734,0.10820181855728236,0.02155918237738488,0.04380538229382986,0.012908346111991709,0.0011923774381424831,0.19613698858120732,0.2585881986003395,0.9414745291146711,0.0
Image5,0,0.21822331428361108,0.24984037093825381,0.48367663526372523,0.37057389664107904,0.0684031205527185,0.011067289702367714,0.050835967481853234,0.5648604208461656,0.338854481212588,0.5608623930130936,0.22667889890359566,0.9609947185817731,0.0
Image6,0,0.22452214645279464,0.20782902119655572,0.43835677880728074,0.5415984845178068,0.05261398166442686,0.007698583021717365,0.030148478604173908,0.7024618983431467,0.5102786714962492,0.6984090207944276,0.1293724366409874,0.9693848440098618,0.0
Image7,0,0.36867517002107547,0.3162925790247077,0.5482027373905133,0.3250329913318886,0.029792323612753156,0.003675480116764591,0.03314466089351037,0.5238393960187476,0.2944878152933344,0.6050239199416338,0.15468584899521365,0.965435822605178,0.0
Image8,0,0.47799112853501163,0.36692278966871655,0.5929234417813881,0.27124121971505594,0.017063290045122477,0.0018816200821420758,0.027129109691093174,0.47188230951249055,0.24273512158250649,0.6049802867317249,0.13117404742372538,0.9700414378875584,0.0
Image9,0,0.5983766323403544,0.40000027310626773,0.6204919172644139,0.2390250197466087,0.006938412037529061,0.0007044262205937856,0.026816813202248525,0.43854205665414026,0.21214092162561937,0.597016352248285,0.12325824881898197,0.9644485925567685,0.0
Image10,1,0.2532329311725245,0.3758085837212551,0.6004470104215794,0.005386190063365003,0.07073664494437623,0.011508473004981725,0.020534554035569023,0.037089808529613244,0.004250765332236838,0.3628162473080682,0.14402060267933656,0.9497381741250912,0.0
Image11,1,0.2932921049483268,0.3823588651259025,0.6059364760041415,0.003949197475887238,0.05668989647849205,0.008489054198439382,0.018669323911145508,0.029044717649490306,0.00311388227198193,0.3829259791518443,0.14534557574560336,0.951826826685565,0.0
